state_name,year,condition_status,counts,condition
Oregon,2006,Unknown or Not Stated,303,pregnancy-associated_hypertension
Pennsylvania,2003,Yes,5720,pregnancy-associated_hypertension
Pennsylvania,2003,No,140232,pregnancy-associated_hypertension
Pennsylvania,2004,Yes,5742,pregnancy-associated_hypertension
Pennsylvania,2004,No,139000,pregnancy-associated_hypertension
Pennsylvania,2005,Yes,5740,pregnancy-associated_hypertension
Pennsylvania,2005,No,139635,pregnancy-associated_hypertension
Pennsylvania,2006,Yes,5690,pregnancy-associated_hypertension
Pennsylvania,2006,No,143387,pregnancy-associated_hypertension
Pennsylvania,2006,Unknown or Not Stated,13,pregnancy-associated_hypertension
Rhode Island,2003,Yes,471,pregnancy-associated_hypertension
Rhode Island,2003,No,11879,pregnancy-associated_hypertension
Rhode Island,2003,Unknown or Not Stated,859,pregnancy-associated_hypertension
Rhode Island,2004,Yes,491,pregnancy-associated_hypertension
Rhode Island,2004,No,12044,pregnancy-associated_hypertension
Rhode Island,2004,Unknown or Not Stated,244,pregnancy-associated_hypertension
Rhode Island,2005,Yes,523,pregnancy-associated_hypertension
Rhode Island,2005,No,12058,pregnancy-associated_hypertension
Rhode Island,2005,Unknown or Not Stated,116,pregnancy-associated_hypertension
Rhode Island,2006,Yes,509,pregnancy-associated_hypertension
Rhode Island,2006,No,11720,pregnancy-associated_hypertension
Rhode Island,2006,Unknown or Not Stated,143,pregnancy-associated_hypertension
South Carolina,2003,Yes,2380,pregnancy-associated_hypertension
South Carolina,2003,No,53261,pregnancy-associated_hypertension
South Carolina,2004,Yes,3113,pregnancy-associated_hypertension
South Carolina,2004,No,53466,pregnancy-associated_hypertension
South Carolina,2004,Unknown or Not Stated,11,pregnancy-associated_hypertension
South Carolina,2005,Yes,3304,pregnancy-associated_hypertension
South Carolina,2005,No,54397,pregnancy-associated_hypertension
South Carolina,2005,Unknown or Not Stated,10,pregnancy-associated_hypertension
South Carolina,2006,Yes,3333,pregnancy-associated_hypertension
South Carolina,2006,No,58830,pregnancy-associated_hypertension
South Dakota,2003,Yes,582,pregnancy-associated_hypertension
South Dakota,2003,No,10445,pregnancy-associated_hypertension
South Dakota,2004,Yes,679,pregnancy-associated_hypertension
South Dakota,2004,No,10659,pregnancy-associated_hypertension
South Dakota,2005,Yes,615,pregnancy-associated_hypertension
South Dakota,2005,No,10847,pregnancy-associated_hypertension
South Dakota,2006,Yes,654,pregnancy-associated_hypertension
South Dakota,2006,No,11161,pregnancy-associated_hypertension
South Dakota,2006,Unknown or Not Stated,104,pregnancy-associated_hypertension
Tennessee,2003,Yes,3801,pregnancy-associated_hypertension
Tennessee,2003,No,75076,pregnancy-associated_hypertension
Tennessee,2003,Unknown or Not Stated,13,pregnancy-associated_hypertension
Tennessee,2004,Yes,3961,pregnancy-associated_hypertension
Tennessee,2004,No,75678,pregnancy-associated_hypertension
Tennessee,2005,Yes,4369,pregnancy-associated_hypertension
Tennessee,2005,No,77376,pregnancy-associated_hypertension
Tennessee,2006,Yes,4450,pregnancy-associated_hypertension
Tennessee,2006,No,79901,pregnancy-associated_hypertension
Texas,2003,Yes,14129,pregnancy-associated_hypertension
Texas,2003,No,361068,pregnancy-associated_hypertension
Texas,2003,Unknown or Not Stated,2279,pregnancy-associated_hypertension
Texas,2004,Yes,14475,pregnancy-associated_hypertension
